Year,Coal_tonnes,Coal_value_C
2017,26005000,c
2016,26027000,c
2015,25551000,c
2014,29392000,c
2013,31131000,3695930000
2012,28779000,4635396000
2011,27431000,6072674000
2010,26040000,4253436000
2009,21192725,3203592000
2008,26163000,3738496000
2007,25725000,1948999000
2006,23057000,2105270000
2005,26715000,2299634000
2004,27314000,1190920000
2003,23073000,971517000
2002,24397000,1034862000
2001,27006000,959292000
2000,25680900,812073000
1999,24845000,796903000
1998,24800000,955990000
1997,27830000,1106880000
1996,25420000,1026580000
1995,24350000,968270000
1994,22608000,860900000
1993,20629000,822250000
1992,17174000,706300000
1991,24962000,989510000
1990,24556000,1000615000
1989,24801000,1058990000
1988,24942000,974400000
1987,21990000,947860000
1986,21141000,973767000
1985,22667000,1089675000
1984,20775300,1016985000
1983,11703548,573962000
1982,11768000,619900000
1981,11781000,540800000
1980,10156000,445430000
1979,10616000,488135000
1978,9061000,374467000
1977,8585322,294954000
1976,7509336,297756900
1975,9579871,342088000
1974,7740100,153567000
1973,7051425,92369714
1972,5939427,72251247
1971,4206626,45976127
1970,3159781,25688821
1969,818673,6151308
1968,806999,5244619
1967,871485,6600946
1966,785826,6437459
1965,739593,5801973
1964,952934,6266442
1963,873332,6128805
1962,828437,6056263
1961,875128,6453373
1960,765544,5584017
1959,681742,5237724
1958,770282,5750871
1957,1010331,7280024
1956,1335847,8722856
1955,1318939,8675715
1954,1178896,7927268
1953,1309073,8862637
1952,1491639,9909720
1951,1577968,9698179
1950,1569833,9740088
1949,1729968,10798560
1948,1615092,9811253
1947,1600182,8630285
1946,1484873,7153330
1945,1542004,7137859
1944,1936142,9009506
1943,1850114,7648720
1942,1967267,7566822
1941,1833279,6492672
1940,1694481,6157250
1939,1395164,5464061
1938,1306606,5237077
1937,1450446,5863849
1936,1350953,5493425
1935,1207723,5043510
1934,1348048,5351108
1933,1253976,5306287
1932,1525422,6392801
1931,1702247,7150996
1930,1890408,8421572
1929,2259233,10160789
1928,2544285,11094353
1927,2491350,10934777
1926,2371126,10612915
1925,2487729,11720373
1924,1990061,10601998
1923,2561260,13813520
1922,2655360,14622317
1921,2622028,15676774
1920,2593530,16726950
1919,2209841,12420445
1918,2330185,11494681
1917,2207986,8235716
1916,2344221,8075190
1915,1873893,6455041
1914,2031911,6999374
1913,2462480,8482562
1912,2911153,10028116
1911,2306546,7945413
1910,3021601,10408580
1909,2364239,8144147
1908,2117104,7292838
1907,2145399,7390306
1906,1947056,5748915
1905,1764884,5211030
1904,1689745,4989174
1903,1520969,4490844
1902,1640590,4844040
1901,1741330,5141487
1900,1625524,4799553
1899,1298273,3833307
1898,1146391,3384858
1897,924775,2730510
1896,910604,2688666
1895,959842,2834049
1894,1009359,2980254
1893,992442,2930304
1892,850230,2510406
1891,1025325,3027528
1890,696342,2056035
1889,577368,1704747
1888,489396,1445001
1887,441021,1302165
1886,340571,1005576
1885,338368,999072
1884,400186,1181598
1883,217792,643059
1882,293203,865716
1881,233197,688542
1880,276732,817086
1879,236119,697170
1878,193911,572544
1877,141934,419076
1876,142434,420555
1875,99211,292932
1874,82361,243183
1873,no production,no production
1872,150841,593836
1871,no production,no production
1870,30322,119372
1869,36376,143208
1868,44712,176020
1867,31741,124956
1866,194509,765748
