Year,Asbestos (t) - Value,Asbestos (t) - Production,Barite (t)x - Value,Barite (t)x - Production,Cement (t) - Value,Cement (t) - Production,Clay Products (t) - Value,Clay Products (t) - Production,Gemstones (kg) - Value,Gemstones (kg) - Production,Graphite (t) - Value,Graphite (t) - Production,Gypsum (t)x - Value,Gypsum (t)x - Production,Lime (t) - Value,Lime (t) - Production,Magnesitic Dolomite (t)x - Value,Magnesitic Dolomite (t)x - Production,Peat (t) - Value,Peat (t) - Production,Pumice (t) - Value,Pumice (t) - Production,Quartz (t) - Value,Quartz (t) - Production,"Soapstone, Talc (t) - Value","Soapstone, Talc (t) - Production",Sulphur Elemental (t) - Value,Sulphur Elemental (t) - Production,Sulphur in Smelter Gas (t) - Value,Sulphur in Smelter Gas (t) - Production,Zeolite (t) - Value,Zeolite (t) - Production,Total Industrial Minerals - Value,Total Industrial Minerals - Value_1
2017e,0,0,c,c,na,,na,2604536,c,c,0,0,c,c,c,c,c,c,c,c,c,c,c,c,0,0,c,c,c,c,0,0,c,
2016,0,0,c,c,c,c,na,2593341,c,c,0,0,c,c,c,c,c,c,c,c,c,c,c,c,0,0,c,c,c,c,c,c,c,
2015,0,0,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,94666,897529,0,0,c,c,c,c,0,0,c,
2014,0,0,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,108130,2780400,0,0,c,c,c,c,0,0,c,
2013,0,0,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0,0,c,c,c,c,0,0,450332476,
2012,0,0,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0,0,c,c,c,c,0,0,460821749,
2011,0,0,25000,c,c,c,c,c,c,c,c,c,436000,c,c,c,180000,c,c,c,c,c,c,c,c,c,c,c,2274,413823,c,c,453813908,
2010,0,0,18000,c,c,c,c,c,c,c,c,c,451000,c,c,c,159000,c,c,c,c,c,c,c,c,c,c,c,17870,2077745,c,c,348512304,
2009,0,0,9500,c ,1511840,204464807,c,c,c,c,c,c,395000,c,c,c,136000,c,c,c,c,c,c,c,c,c,c,c,41160,5897405,c,c,278211319,
2008,0,0,8000,2500000,2383449,315115023,c,c,c,c,0,0,519000,c,c,c,112000,c,c,c,c,c,c,c,c,c,c,c,34653,6896294,c,c,695681553,
2007,0,0,4000,750000,2614527,336454771,c,c,c,c,0,0,781000,c,c,c,100000,c,c,c,c,c,c,c,c,c,c,c,47809,2154274,c,c,424109938,
2006,0,0,12000,2500000,2425618,298258242,c,c,c,c,0,0,725000,c,c,c,120000,c,c,c,c,c,c,c,c,c,c,c,1194,60584,c,c,363206871,
2005,0,0,10000,2600000,2401139,285604806,c,c,c,c,0,0,825000,c,c,c,180000,c,c,c,c,c,c,c,c,c,c,c,2174,119961,c,c,364425000,
2004,0,0,9000,1750000,2384249,276097908,c,c,c,c,,,790000,c,c,c,190000,c,,,c,c,c,c,c,c,c,c,1899,127442,c,c,355009000,
2003,0,0,10000,1769580,2500283,261131820,c,c,c,c,,,650000,c,c,c,200000,c,,,c,c,c,c,c,c,c,c,3922,179970,c,c,336425000,
2002,0,0,1500,600000,2153000,239364632,c,c,c,c,,,650000,c,c,c,200000,c,,,c,c,c,c,c,c,c,c,11081,402911,c,c,310195000,
2001,0,0,10000,1500000,2111380,232155741,c,c,c,c,,,600000,c,c,c,200000,c,,,c,c,c,c,c,c,c,c,1964,87084,c,c,296412000,
